UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_DIV-03_1","Students confuse a single measurement of elevated referral rates with complete identification of when disproportionality begins in the pipeline, missing that disparities emerge at referral, evaluation, and placement decision points separately.","scope-undergeneralization","Distractor A tests whether students oversimplify disproportionality to placement alone. Remediate by analyzing an actual referral-to-placement dataset, color-coding each stage separately, and asking: 'At which stage do students of color disappear from the pipeline?' Guide students to see that referral bias can occur even with consistent placement standards, and vice versa."
"PQ_DIV-03_2","Clinicians anchor to a single standardized test score despite stronger convergent evidence from ongoing classroom instruction and performance, treating the decontextualized metric as authoritative over systematic classroom observation under good teaching.","label-retrieval","Distractor D confuses test validity with interpretive priority. When students choose this, present a paired case: low test score, high teacher-reported performance under scaffolding. Ask: 'Which datum actually measures what this student can do with support?' Coach synthesis of classroom trend data as a check against test-anchoring through explicit integration protocols."
"PQ_DIV-03_3","Teachers and evaluators misclassify microaggressions as either overt intentional slurs or as imagined oversensitivity, losing the diagnostic middle ground of frequent, subtle, often unintentional hostile cues that research shows accumulate and harm belonging.","scope-overgeneralization","Distractor C appears reasonable ('oversensitive') but obscures cumulative harm. Use classroom climate data showing correlation between reported microaggressions and student absences, trust, and course withdrawals. Show a clip of subtle eye-rolling or tone shifts; have students predict impact across 100 interactions, not one."
"PQ_DIV-03_4","Psychologists apply group-level statistical averages (mean achievement by race) directly to individual probability predictions of ability, committing an ecological fallacy that violates individualized assessment mandates and misreads what group statistics actually show.","population-confusion","Distractor A repackages the error as 'evidence-based.' Remediate with a concrete task: 'Group X has mean 70; individual student took test and scored 85. Prediction?' Help students see the non-sequitur: no group mean predicts an individual, and assuming it does is the definition of stereotyping. Use a test-score scatter plot showing wide individual variance within every demographic cell."
"PQ_DIV-03_5","When aware of implicit biases, school psychologists retreat to private self-reflection or deny the bias exists, avoiding the observable, monitored practice changes and accountability systems that ethics codes require.","role-confusion","Distractors A and D both sidestep public professional action. Help students articulate what *visible change* looks like: consent process rewording, family contact before referral, data review at team meetings with documentation. Create a before-after protocol checklist for one school psychologist to use; have peers audit for bias-reduction evidence in *their own* case files."
"PQ_DIV-03_6","When gifted identification shows underrepresentation of students of color, educators assume narrowing access (higher cutoffs) combined with bias awareness training will expand equitable pathways, overlooking that test-only systems structurally exclude underrepresented students regardless of awareness.","component-confusion","Distractor A pairs two tools (cutoff, training) that historically reinforce gatekeeping. Present enrollment graphs: tighter test cutoff + awareness training = still underrepresented. Shift focus: multi-measure systems (portfolio, observation, referral training) paired with transparent seat allocation. Role-play a gifted referral meeting with and without portfolio evidence, noting how data types change recommendations."
"PQ_DIV-03_7","Educators interpret discipline disparities as evidence that students of color misbehave more severely, rather than recognizing that uniform rules applied with discretionary enforcement create different consequences for identical infractions based on race.","sequence-inversion","Distractor A inverts the causal chain: more severe behavior → harsher discipline, when the actual finding is similar behavior → different enforcement. Use a discipline log audit: pull 20 infractions called 'defiance' in schools with racial discipline gaps, grade severity by an external rater, plot against consequence assigned by student race. Show the disconnect."
"PQ_DIV-03_8","Policymakers cite school policies' lack of racial language as evidence that zero-tolerance operates fairly, missing that facially neutral codes combined with discretionary judgment at application produce disparate impact despite colorblind text.","purpose-confusion","Distractor D misreads the research (zero-tolerance doesn't *equally* affect all groups; it's supposed neutrality masks biased enforcement). Bring a real zero-tolerance code and a discipline record. Code words? Categorize 50 infractions by alleged severity; map race of students disciplined for each. Show why neutral language + biased application = disparate impact."
"PQ_DIV-03_9","School psychologists treat stereotype threat as a situational performance tax distinct from clinician biases in synthesizing evidence, conflating a student-level phenomenon with examiner-level judgment errors about ability.","indirect-direct-confusion","Distractor D misplaces stereotype threat at the clinician's implicit biases instead of where it belongs: student anxiety during testing. Clarify with a case: 'Student is nervous about a math test, so she performs worse. That's stereotype threat. Now, a psychologist looks at the low score and concludes she has low math ability. That's clinician bias in *interpretation.* Different errors, different interventions.'"
"PQ_DIV-03_10","Evaluators lower identification vigilance for girls with ADHD symptoms based on epidemiologic prevalence data (higher rates in boys), assuming that registry gaps reflect true prevalence and therefore justify closing individual evaluations early.","validity-reliability-confusion","Distractor A states flatly that girls cannot have ADHD; D mistakes prevalence ratios for true-prevalence proof. Provide gender-masked ADHD assessment protocols; have students score inattention presentations blind to student gender, then reveal gender and discuss whether attention symptoms change. Emphasize: higher diagnosis in boys may reflect bias in who gets referred, not actual disorder distributions."
