UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_PSY-01_1","Students conflate standard scores with percentage of items answered correctly, treating a score of 85 as if it means 85% accuracy rather than a position on a normal distribution.","label-retrieval","Distractor A represents direct interpretation of the number 85 as a success percentage. Teach students that standard scores are derived scores—transformed from raw scores to fit a standardized metric—and do not reflect item accuracy. Reinforce the z-score conversion model: score = mean + (SD × z), showing how 85 = 100 + (15 × -1)."
"PQ_PSY-01_10","Examinees interpret grade equivalent scores as prescriptive placement recommendations rather than descriptive performance equivalents, treating a GE of 6.2 as a directive to move the student to 6th-grade curriculum.","scope-undergeneralization","Distractor A (ready for 6th-grade) and C (should be advanced) both wrongly use the GE as placement criteria. Distractor D conflates higher GE with enrichment need. Show explicitly: GE is *descriptive* (what grade level would average this score), never *prescriptive* (what class to put the student in). Use a concrete example: a 4th grader with GE 6.2 is performing like a typical 2nd-month 6th grader on *this task only*, not across all domains."
"PQ_PSY-01_11","Test-takers apply a single standard error boundary instead of the twice-SEM rule for 95% confidence bands, stopping at ±1 SEM when the formula requires ±2 SEM (or ±1.96).","prerequisite-skipping","Distractors A (74-82, ±4) and C (75-81) both use 1 SEM. Distractor D (76-80) uses an even narrower band. Anchor the interval formula explicitly: CI = score ± (1.96 × SEM) or CI = score ± (2 × SEM). Drill: with SEM = 4, you *must* multiply by 2, not 1."
"PQ_PSY-01_12","Students over-generalize any percentile below 50 as categorically 'below average' without considering that the normal distribution defines 'normal variation' as ±1 SD (roughly 16th to 84th percentile).","overgeneralization","Distractor A reduces 'below average' to a mechanical percentile rule without normative context. Distractor C uses distance-to-mean logic (88 is closer to 100 than 70), which is faulty reasoning. Distractor D leaps to disability diagnosis. Introduce the concept of percentile *bands*: 21st percentile is low-normal, not pathological. Show the normal curve with shaded regions for below-average (below 16th), average (16th–84th), and above-average."
"PQ_PSY-01_13","Practitioners average subtest scores into a composite when significant scatter is present, obscuring the very cognitive profile that makes scatter meaningful for intervention planning.","model-conflation","Distractor A averages scores and loses profile detail. Distractor C targets the lowest score directly without understanding that isolated weak scores may reflect processing speed, motivation, or a specific neuropsych weakness—not a global deficit. Distractor D misidentifies a 20-point scatter as automatic learning disability. Teach: significant scatter (>1.5 SD between highest and lowest) invalidates composite-score-only interpretations; analyze each strength and weakness separately."
"PQ_PSY-01_14","Students incorrectly equate stanine rank with percentile rank (confusing 9-point scale intervals with percentile granularity) or overextend stanine values as diagnostic indicators.","norm-criterion-confusion","Distractor A treats stanine 2 as mildly low rather than very low. Distractor B conflates stanine values with percentile points directly (2 ≠ 2nd percentile). Distractor C jumps from low score to disability diagnosis without understanding that scores are *descriptive*, not diagnostic. Build a conversion table: stanine 1 ≈ 4–10th percentile, stanine 2 ≈ 12–23rd percentile. Show that low *scores* ≠ low *ability*; both require corroborating evidence."
"PQ_PSY-01_15","Teachers interpret percentile ranks as raw percentage-correct when a percentile rank is fundamentally a *relative rank*, not an absolute accuracy measure, collapsing the distinction between norm-referenced and item-based scoring.","indirect-direct-confusion","Distractor B implies item percentage is needed *alongside* the percentile, confusing the dimensions. Distractor C offers terminology apologetics instead of clarification. Distractor D over-infers giftedness from a high percentile. Anchor: percentile rank = *position in the norm distribution*, not *percent of items right*. Use side-by-side language: '99th percentile means better than 99 out of 100 students, *not* 99 correct answers.'"
"PQ_PSY-01_16","Examiners misunderstand ceiling effects as a problem only if the *maximum possible score* is low, overlooking that ceiling effects are present whenever too many students cluster at the top—regardless of the test's absolute scale limits.","component-confusion","Distractor B uses synonym language ('clustering at maximum') without adding substance. Distractor C reframes as inability to distinguish top students due to score height—missing the discrimination principle. Distractor D overgeneralizes ceiling effects as making the test useless for high performers. Clarify: ceiling effects prevent *fine-grained differentiation* at the top of the distribution; the test still provides meaningful data but loses sensitivity in that range. Show a histogram with bunched scores at the top."
"PQ_PSY-01_17","Psychologists assume older norm groups are inherently more reliable or established, treating *age* of norms as a proxy for *quality*, when recency determines how well norms reflect the current population.","population-confusion","Distractor A privileges longevity over relevance. Distractor C proposes averaging scores from different norm groups, mixing incompatible reference sets. Distractor D selects the higher score to represent true ability—practice-relevant bias. Teach: norm groups are *snapshot references*, not universal baselines. Newer norms (2020 vs. 2010) reflect population shifts (SES, diversity, test-taking experience). Always check: publication year = applicability."
"PQ_PSY-01_18","Practitioners collapse profiles with extreme variability into single composite scores, losing the very differentiation that guides intervention and accommodation planning when scatter is diagnostically meaningful.","tier-level-confusion","Distractor A simplifies via averaging, obscuring scatter's clinical utility. Distractor C imputes learning disability from variability alone, ignoring that scatter ≠ LD. Distractor D suggests retesting to eliminate error, misunderstanding that variability itself *is signal* of uneven cognitive strengths. Frame: significant scatter (>1.5 SD) is not error—it's profile information. Never report a global score when scatter is >1 SD; analyze the cognitive *pattern* instead and design interventions for specific weak areas."
