UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_ETH-01_19","Assuming automatic subpoena compliance eliminates the FERPA requirement to notify parents and guardians before releasing records.","scope-overgeneralization","Students picking A miss the secondary obligation. Teach the two-step process: (1) comply with the subpoena (legal requirement), (2) notify the family (FERPA requirement). Use a legal-ethical matrix: legal ≠ complete ethical action. B adds the missing step."
"PQ_ETH-01_2","Confusing the four NASP ethical themes (Dignity, Competence, Honesty, Responsibility) with other frameworks like competency lists, service delivery stages, or ecological systems.","label-retrieval","Students choosing A, C, or D are pattern-matching to the wrong taxonomy. Teach the four NASP themes by their intent: Dignity (who we serve), Competence (how well), Honesty (how truthfully), Responsibility (to whom). Contrast C (assessment-intervention-advocacy) as a process, not themes. Option B is the only one about ethical principles."
"PQ_ETH-01_20","Prioritizing team consensus or avoiding escalation over advocating for a student's interests when team decisions conflict with student welfare.","tier-level-confusion","Students who select A or C misunderstand the hierarchy. Teach: Student welfare > team harmony. Option B advocates first. Option C skips intra-team discussion. Use a scenario where the team votes to withhold services; show that advocacy (B) doesn't mean insubordination—it means speaking truth within the group first."
"PQ_ETH-01_3","Confusing test security with complete data withholding and assuming copyright protection justifies denying parents access to interpreted assessment information.","causation-correlation","Students choosing A or C link security to secrecy. Teach the distinction: Test security ≠ parental privacy violation. Raw data is copyrighted, but interpretation is not. Show how B (interpret, don't withhold) protects both security and parental right to information."
"PQ_ETH-01_4","Overestimating the scope of third-party evaluation accommodations without addressing core ethical requirements: payment clarity, limited confidentiality disclosure, and impact on the school day.","scope-undergeneralization","Students who select A, C, or D focus on one element (consent, confidentiality, test standards) instead of all. Create a checklist: payment? confidentiality frame? school impact? Student assent? Option B covers all three primary concerns. Show why each distractor omits a key piece."
"PQ_ETH-01_5","Treating dual relationships as categorically prohibited or assuming that transparency and basic professional boundaries are sufficient safeguards without institutional oversight.","norm-criterion-confusion","Students choosing A, C, or D misunderstand the compliance bar. Teach the spectrum: Some dual relationships are unmanageable (therapist-client relative); some are manageable (colleague-family member) with oversight. Option B uses three levers: boundaries + transparency + institutional accountability. Options C and D skip institutional oversight."
"PQ_ETH-01_6","Prioritizing a minor student's preference for privacy over parental legal authority to consent to psychological services in school contexts.","population-confusion","Students who choose A or B misidentify who holds consent authority. Teach: Minors (unless emancipated) don't have unilateral consent rights in schools. Option C explains the requirement and respects the student by framing it as a joint conversation. Use a comparison: Would you proceed with surgery on a 17-year-old without parental consent?"
"PQ_ETH-01_7","Avoiding colleague accountability entirely or escalating immediately to licensing boards without attempting collegial problem-solving first.","sequence-inversion","Students who select A or C reverse the sequence. Teach the escalation ladder: talk to colleague → if unresolved, escalate. Option B (direct conversation first) is foundational. Option C jumps to external reporting without evidence that internal dialogue failed. Option D (parent notification) is sideways, not up the chain."
"PQ_ETH-01_8","Recording only assessment results without documenting the reasoning, decision-making basis, or clinical justification that supports those results.","component-confusion","Students choosing A, C, or D misidentify documentation purpose. Teach that notes exist to support defensibility: 'Why did we conclude this?' Option B (decision basis + recommendations + reasoning) is the standard. Show a bad note (just scores) and a good note (scores + interpretation + rationale). Then flag why C (vague) and D (speculative) fail."
"PQ_ETH-01_9","Concealing an interpretation error or delaying correction until the next annual review, believing silence protects the team when honesty and immediate correction are the ethical imperative.","validity-reliability-confusion","Students who choose A, C, or D confuse discretion with integrity. Ask: 'If your interpretation was wrong, does the student benefit from secrecy?' Option B (immediate correction to everyone) is honest and protects the student's actual placement. Show the harm of delayed correction: wrong IEP goals continue for a year."
