"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_RES-02_1","Students equate evidence-based practice with a single criterion—either recency of research, personal clinical belief, or unique original data collection—rather than understanding it as a dynamic integration across three equally weighted domains.","model-conflation","Distractor A confuses EBP with publication recency alone. Distractor C mistakes personal conviction for evidence synthesis. Distractor D presumes original research generation is required for every case. Teach by presenting EBP as a three-part Venn diagram: research + clinician expertise + client values. Have students identify which domain each distractor ignores."
"PQ_RES-02_10","Educators accept vague research claims without demanding specificity, or they swing to the opposite extreme of discarding any program whose claims lack immediate citations, failing to recognize that citation gaps warrant investigation rather than automatic rejection or acceptance.","scope-overgeneralization","Distractor A treats a bare 'decades of research' claim as sufficient justification, missing the need for evidence review. Distractor B over-rejects based on vagueness alone, assuming absence of citations proves exaggeration. Distractor D pilots without evaluation, confusing implementation with systematic assessment. Show students how to parse vendor language and then respond: 'We need specific citations, design rigor, and effect sizes—this is our next step, not a deal-breaker.'"
"PQ_RES-02_11","Publication bias is mistaken for methodological laxity in journals, peer-review gatekeeping inequity, or a directive to publish all findings regardless of quality—obscuring the core mechanism: positive/significant findings systematically enter the literature while null results stay hidden.","label-retrieval","Distractor A reframes publication bias as a call to lower quality standards entirely. Distractor C conflates publication volume with selective reporting of results. Distractor D attributes bias to reviewer preferences for methodologies rather than result direction. Use a concrete funnel plot on a whiteboard: draw what a full (symmetric) literature looks like vs. what publication bias creates (missing left-side studies). Then ask: 'Where are the null results hiding?'"
"PQ_RES-02_12","Learners linearize correlation strength—treating r=.45 as either 'nearly perfect' or 'useless'—rather than squaring the coefficient to access the proportional variance explained, which reveals a moderate but practical level of predictive utility.","component-confusion","Distractor A presumes r=.45 signals near-perfect prediction. Distractor C interprets r=.45 as zero relationship. Distractor D dismisses the tool as useless, conflating weak prediction with zero prediction. Walk through r² = 0.45² = 0.20 (20% variance explained). Ask: 'If we can predict one-fifth of reading outcomes, what about the other four-fifths? What else drives reading?'"
"PQ_RES-02_13","Implementation science is conflated with intervention design, consumer satisfaction, or elimination of research roles—not recognized as the infrastructure discipline that bridges the research-to-practice chasm by studying how to deploy proven interventions faithfully in real-world contexts.","purpose-confusion","Distractor A misidentifies implementation science as intervention creation. Distractor C reduces it to subjective student liking, ignoring fidelity and outcome measurement. Distractor D implies implementation science replaces research entirely. Clarify the field's mission: 'Implementation science asks: Given that we have strong evidence, how do we actually get it into classrooms and keep it there?'"
"PQ_RES-02_14","Treatment fidelity (adherence to core validated components) is conflated with the quality of the intervention itself, student compliance, or financial constraints—missing the distinction between 'the intervention is sound but poorly implemented' and 'the intervention is unsound.'","validity-reliability-confusion","Distractor B mistakes fidelity for evidence-base status (a program can be research-backed but delivered wrong). Distractor C confuses fidelity with student buy-in (poor delivery ≠ student refusal). Distractor D invokes cost as a fidelity metric (cost is not a component). Create a 2×2 table: high/low fidelity × strong/weak evidence. Emphasize: 'Before we blame the intervention, was it actually delivered as designed?'"
"PQ_RES-02_15","Neuroscience framing is treated as an automatic credibility multiplier, or conversely rejected as inherent speculation—ignoring the requirement to examine whether the claim translates to measurable outcomes and whether intervention success actually depends on the neurological mechanism or just on cognitive/behavioral change.","indirect-direct-confusion","Distractor A presumes neuroscience labels guarantee superiority via sophistication. Distractor B dismisses all neuroscience claims as unfalsifiable. Distractor D assumes biological mechanisms are inherently more fundamental than behavioral ones. Ask students: 'A neuroscience-based reading program claims it rewires dyslexia circuits. Let's say it works. Does the mechanism matter if kids learn to read?' Push them to separate mechanism claims from outcome data."
"PQ_RES-02_16","The replication crisis is flattened into a single cause—either small sample size alone, journal gatekeeping, or resource scarcity in applied settings—rather than recognized as a systemic problem arising from multiple contributors: small samples, flexibility in analysis, publication selectivity, and lack of replication incentives.","scope-undergeneralization","Distractor A narrows the crisis to sample size only, missing p-hacking and selective reporting. Distractor C overgeneralizes by claiming psychology is uniquely unreliable. Distractor D dismisses replication as impractical, removing the mechanism by which we catch false positives. Discuss: 'The replication crisis is a three-part storm: small N, flexible analysis, and no publisher interest in nulls. We need all three pieces to understand it.'"
"PQ_RES-02_17","Practitioners accept research without discriminating by design rigor, evidence hierarchy, or sample representativeness—treating a single case study, convenience sample, or low-quality quasi-experiment as equivalent to a large RCT or meta-analysis despite vast differences in internal and external validity.","tier-level-confusion","Distractor A accepts any publication without design scrutiny. Distractor B treats teacher narrative as research evidence, bypassing empirical signal. Distractor D elevates personal experience to evidence status, removing the peer-review filter. Build a research hierarchy poster together: RCT/meta-analysis at the top, single case study at the bottom. Practice sorting actual articles by tier."
"PQ_RES-02_18","When implementation fidelity breaks down, educators blame the research itself, the target population, or research-practice translatability in general—rather than recognizing that poor fidelity is a confound that prevents fair judgment of the intervention's true effectiveness.","treatment-assessment-confusion","Distractor A invalidates the research because field results don't match trial results. Distractor B narrows the problem to population mismatch, ignoring delivery quality. Distractor D abandons research-to-practice entirely as impossible. Provide a teaching scenario: 'Intervention A worked in the trial with 85% fidelity. Your school implements it at 40% fidelity. Can you tell if it's actually ineffective? Why or why not?'"
