UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_LEG-03_1","Misconception that accommodations require an IDEA label conflates two separate eligibility frameworks with different scopes.","model-conflation","When students select distractor A (no obligation without IEP), teach the critical distinction: Section 504 requires accommodations for ANY disability substantially limiting a major life activity, regardless of IDEA eligibility. Use a two-column chart: IDEA (specialized instruction, federal funding, IEP) vs. 504 (accommodations only, no instruction, anti-discrimination). Have students repeatedly apply this: Does the student have a documented disability limiting major life activity? If yes, Section 504 applies—period."
"PQ_LEG-03_10","Belief that instructional continuity overrides legal accommodation obligations ignores the legal priority hierarchy.","scope-undergeneralization","Distractor C reflects accommodation conditionality that violates Section 504. Explicitly teach: accommodations are NOT contingent on instructional convenience. Coach teachers: ''Minor disruption is acceptable; withholding a legally required accommodation is not.'' Use real role-play scenarios (teacher refuses break; student loses right to it → legal violation). Pair with a brief on Section 504 enforcement: schools cannot pick and choose which accommodations to honor."
"PQ_LEG-03_11","Confusion about whether LRE (least restrictive environment) applies to Section 504 at all reflects unlearned scope of the statute.","scope-overgeneralization","Distractor C claims Section 504 does not address placement—a foundational error. Reinforce: Section 504 explicitly requires LRE. When students choose C, have them read the statutory language on \"main injunction of education...free of discrimination.\" Follow with placement analysis: Does the separate setting prevent equal educational access? If yes, it violates LRE under 504. Contrast with IDEA: both require LRE, though implementation differs."
"PQ_LEG-03_12","Misunderstanding that cost is a blanket exception to accommodation obligations misapplies the reasonableness test.","tier-level-confusion","Distractor A asserts schools can deny costly accommodations entirely, while D over-corrects by mandating all. Teach the legal middle ground: cost alone ≠ unreasonable, but cost CAN factor into *how* to deliver the accommodation. Example: One-to-one aide may be cost-prohibitive, but small-group support or peer tutoring achieves the same access at reasonable cost. Have students draft accommodation alternatives and justify them using cost + effectiveness reasoning."
"PQ_LEG-03_13","Conflation of K–12 and postsecondary protections assumes automatic continuity when responsibilities diverge significantly.","developmental-stage-mismatch","Distractor A assumes seamless carryover; distractor D assumes complete loss. Teach the critical transitions: In K–12, schools must provide accommodations proactively; in college, students must request them and provide documentation. Middle/high school counselors should explicitly coach on self-advocacy. Use a timeline: What changes at graduation? (No IEP; student must register with disability services; professor is not ''accommodations manager''.) Have a postsecondary representative visit to reframe rights."
"PQ_LEG-03_14","Assumption that diagnosis alone suffices for plan development bypasses the functional-impact analysis that Section 504 requires.","label-retrieval","Distractor C (diagnosis without functional assessment) is the correct answer, so students choosing B misunderstand the necessity of functional data. When they select B wrongly, clarify: anxiety disorder ≠ automatic 504 plan. What matters: Does it substantially limit learning? Concentration? Sleep? Emotional regulation? Use a real assessment: Give the diagnosis (anxiety), then ask ''What is the functional impact on THIS student's major life activities?'' Require documentation of the gap before accommodating."
"PQ_LEG-03_15","Belief that medication-driven improvement automatically terminates eligibility disregards the ongoing review mandate and substantial limitation standard.","sequence-inversion","Distractor A jumps to discontinuation without review; distractor C locks in permanence. Teach periodic review protocol: Condition improved → reassess functional limitation → does the student still substantially limit a major life activity? If yes (even on medication), plan continues. Use medication as a lens: Medication *manages* symptoms but does not erase disability if limitations remain. Structure: Review annually + when condition changes + via parent or school request."
"PQ_LEG-03_16","Belief that 504 and health plans are synonymous or that health plans offer superior comprehensiveness blurs distinct purposes.","role-confusion","Distractors A and C mischaracterize the scope and rigor of 504 plans. Teach the boundary: Health plans address medical management (when to give insulin, emergency protocols); 504 plans address educational access (accommodations, curriculum adjustments). Neither supersedes the other; both are necessary. Use a diabetes case: A health plan manages blood glucose; a 504 plan ensures testing location, snack breaks, nurse access. Neither alone is sufficient."
"PQ_LEG-03_17","Misconception that Section 504 carves out exceptions for athletic contexts reflects a misreading of statutory scope.","purpose-confusion","Distractors A and D falsely claim 504 does not apply to athletics or extracurricular activity. Reinforce statutory language: Section 504 covers ''all programs and activities'' of the school, including athletics. When students choose A or D, ask: ''Where does the law say sports are exempt?'' Then use conflict resolution: If a therapy appointment is medically necessary, school must accommodate it. But the accommodation must be reasonable (not changing the entire team structure)."
"PQ_LEG-03_18","Assumption that program implementation for 504 students must be identical to general population ignores individualized accommodation obligation.","component-confusion","Distractors A and C mishandle accommodation. A wrongly asserts no accommodations in programs; C wrongly asserts exclusion. Teach: individualization means reviewing the program for barriers THIS student faces, not creating parallel programs or excluding students. Use the bullying prevention example: A student with autism may need alternative formats, smaller group discussions, or rehearsal time—not exclusion or identical delivery. Draft accommodations that enable participation and benefit, not separate pathways."
