"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_SAF-03_19","Test-takers conflate process terminology (assessment vs. evaluation) without recognizing that evaluation encompasses assessment plus documented safety planning and multiagency coordination.","model-conflation","Choice A treats both terms as synonymous. Choice C incorrectly links them to focus area rather than process scope. Choice D incorrectly associates them with threat type categories. Misconception: 'Assessment and evaluation are just different words for the same thing.' Teach: Assessment = gathering data and determining risk level. Evaluation = assessment *plus* documented safety plan identifying who monitors, what interventions occur, and trigger points for re-assessment. Evaluation is the actionable version."
"PQ_SAF-03_3","Students invert the purpose of threat assessment by treating it as a punishment mechanism to identify exclusion candidates rather than a risk differentiation tool enabling proportionate intervention.","purpose-confusion","Choice A frames assessment as evasion of accountability. Choice C assumes automatic law enforcement involvement. Choice D presumes assessment identifies expulsion candidates. Misconception: 'Threat assessment is how we decide who to expel.' Teach: Threat assessment *differentiates* transient expressions (low intervention) from substantive threats (multiagency response). It prevents both under-response (ignoring real threats) and over-response (excluding every student who says something angry). The outcome is a *tailored response*, not a predetermined punishment."
"PQ_SAF-03_20","Practitioners grant external expert assessments unilateral authority over school-based threat determination, failing to conduct independent school assessment using school-specific information.","role-confusion","Choice A uncritically accepts the private report. Choice C escalates to law enforcement without school's own assessment. Choice D dismisses school concerns entirely. Misconception: 'The private expert's conclusion overrides our concerns.' Teach: Schools must conduct *independent* threat assessment using school-based data (peer relationships, prior concerning behaviors at school, school climate context). External assessments and school assessments may reach different conclusions because they draw on *different data sources*. School responsibility cannot be delegated; consultation is supplementary."
"PQ_SAF-03_4","Learners propose threat assessment team composition that either excludes critical multidisciplinary perspectives (administration/mental health only, or psychologist alone) or omits defined role clarity.","component-confusion","Choice A includes only administrative and law enforcement. Choice C features only the psychologist. Choice D excludes administration, risking no institutional authority for action. Misconception: 'We just need one expert or one discipline.' Teach: Multidisciplinary team includes *administration* (authority for institutional response), *mental health professional* (assessment of intent/ideation/mental state), *educator* (school context and student history), *SRO* (law enforcement liaison). Each role is distinct; none can cover all functions. Define roles before forming the team."
"PQ_SAF-03_5","Students conflate confidentiality breaches by school personnel with peer-to-peer threat communication, misapplying leakage terminology to official information sharing.","label-retrieval","Choice A confuses leakage with law enforcement reporting. Choice C mistakes leakage for confidentiality violations by staff. Choice D incorrectly applies leakage to facility security/elopement. Misconception: 'Leakage is when staff accidentally tell people things.' Teach: *Leakage* is when a potential perpetrator *intentionally or unintentionally* discloses violent plans, threats, or intent to *peers or others*—often gauging reactions or seeking encouragement. It is peer-disclosure, not staff breach. Example: Student tells friend, 'I'm bringing a gun tomorrow,' and the friend reports it. That was leakage followed by responsible reporting."
"PQ_SAF-03_6","Learners collapse suicide and homicide threat assessment into a single protocol, overlooking that distinct risk factors, warning signs, and intervention goals differentiate the two pathways.","model-conflation","Choice A assumes identical procedures work for both. Choice C treats all self-harm threats identically to threats to others. Choice D excludes suicide risk entirely from assessment scope. Misconception: 'A threat is a threat—same assessment for suicide and violence.' Teach: Suicide assessment focuses on intent (wanting to die), *means* (access to lethal means), and protective factors (reasons for living). Violence assessment focuses on *grievance/intent* (wanting to harm someone), *target identification*, and *planning*. Interventions differ: suicide = means restriction + crisis support; violence = safety planning + monitoring. Both require parent notification but follow different escalation paths."
"PQ_SAF-03_7","Test-takers reduce threat severity assessment to literal wording of statements, disregarding Virginia Student Threat Assessment Guidelines' requirement to examine circumstances, access to means, intent, and target data.","scope-undergeneralization","Choice A relies on words alone. Choice C uses discipline history as sole criterion. Choice D applies gender-based profiling. Misconception: 'If the statement is mild, it's not a threat.' Teach VSTAG factors: *Circumstances* (what provoked this?), *Access to means* (do they have guns, tools?), *Student's state of mind* (are they serious, joking, distressed?), *Target information* (specific individuals named or unidentified masses?). Each factor independently contributes to threat classification. Example: Vague threat + no weapon access + joking context = transient. Same statement + explicit planning + weapon access = substantive, regardless of word choice."
"PQ_SAF-03_8","Learners automatically classify disturbing creative writing as substantive threat evidence, conflating literary expression with direct threat intent and bypassing individualized threat assessment.","overgeneralization","Choice A jumps to substantive threat classification. Choice C recommends expulsion based on content alone. Choice D dismisses all creative violence as harmless. Misconception: 'Violent creative writing = real threat.' Teach: Creative writing assignments *warrant assessment*, not automatic escalation. Assess by interviewing the student: intent (were you expressing creativity or planning?), factual planning (do you have access/capability?), target specificity (is this your school or a fictional one?). Many writers explore dark themes without violent intent. Assessment distinguishes expression from substantive planning."
"PQ_SAF-03_9","Students conflate threat severity categories with age-based assumptions or misunderstand CSTAG's imminence-based distinction between serious and very serious threats.","tier-level-confusion","Choice A links severity to grade level. Choice B assumes procedural response (intervention vs. law enforcement) determines severity category. Choice D treats severity as subjective/school-policy-dependent. Misconception: 'Serious means elementary kids; very serious means high schoolers' or 'Serious = just intervention; very serious = definitely police.' Teach CSTAG framework: *Serious threat* = student has intent + some capability but may allow time for school intervention (e.g., threat with vague planning). *Very serious threat* = imminent danger requiring immediate safety action (e.g., student has weapon accessible, specific time/place named, shows no hesitation). Imminence, not age or automatic escalation, determines category. Procedural response follows from severity, not the reverse."
"PQ_SAF-03_1","Practitioners misidentify external expert assessment authority as superseding school-based threat determination, overlooking schools' independent assessment mandate.","role-confusion","Choice A grants private practitioners unilateral authority. Choice C escalates without conducting school assessment first. Choice D dismisses contradicting school concerns. Misconception: 'The outside expert is the authority; we follow their conclusion.' Teach: Schools have statutory responsibility to conduct *independent* threat assessment. External assessments *inform* but do not *override* school assessment. Schools use school-specific data (peer reports, prior incidents, access to school weapons, school climate); external practitioners may lack this context. If conclusions differ, document both and escalate to administration + family conference to reconcile discrepancies or clarify data differences."
