UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_DBD-03_19","Score-reporting standards are confused between group-level descriptive statistics and individual-level uncertainty quantification, leading to omission of confidence intervals or SEM.","purpose-confusion","Distractors A, B, D confuse group norms or test-manual reliability with individual score error. Mandate: Every reported FSIQ must include CI (e.g., 95% CI: 72–88 based on SEM of 3). Without this, consumers cannot gauge measurement imprecision or make defensible eligibility decisions."
"PQ_DBD-03_2","Composite-score prioritization is justified by communication convenience rather than the primary psychometric reason of greater reliability and validity stability.","norm-criterion-confusion","Distractor A confuses interpretability for parents with technical reliability advantage. Correct reasoning: Composites have higher reliability than subtests because they aggregate error. This is the foundational argument. Parent communication is a secondary benefit. Always lead with psychometric logic."
"PQ_DBD-03_20","Longitudinal IQ decline is deterministically interpreted as cognitive loss and immediate ID confirmation, ignoring measurement error, developmental variation, and test-difference effects.","causation-correlation","Distractor A jumps from a 7-point drop to definitive decline and placement. Teach: Retest variability is expected. Before concluding true decline, calculate whether the difference exceeds the standard error of the difference, examine test administration context, and gather contextual evidence. A 7-point change may simply be error."
"PQ_DBD-03_3","Standard error of measurement is conflated with test-retest reliability coefficients, causing confusion about what SEM communicates for individual score interpretation.","component-confusion","Distractor C treats SEM as signaling poor test reliability. Clarify: SEM is expected measurement precision around one score. A SEM of 3 is normal for cognitive batteries. It does not indicate the test is unreliable; rather, it defines the confidence band for that individual's score (68±3 ≈ 95% CI: 65–71)."
"PQ_DBD-03_4","Nonverbal test selection for deaf students is narrowly framed as removing spoken English without acknowledging broader language-modality accessibility and sign-language linguistic context.","scope-undergeneralization","Distractor A emphasizes lack of hearing requirement but overstates the removal of all language modality effects. CTONI-2 is appropriate for deaf students because it eliminates spoken English and auditory loading; however, sign-language instruction and item-presentation clarity remain important. Teach that nonverbal ≠ language-free; it means non-English-dependent."
"PQ_DBD-03_5","Index discrepancy analysis is initiated without first checking whether the observed difference exceeds measurement error using each index's SEM, leading to premature significance claims.","sequence-inversion","Distractors A, C, D skip the mandatory first step. Correct sequence: (1) Extract each index SEM from test manual, (2) Calculate difference score between indices, (3) Determine if difference ≥ critical value (roughly 1.5× SEM of difference), (4) Only if significant, interpret as meaningful. Begin every discrepancy analysis with this SEM gate."
"PQ_DBD-03_6","CHC theory is collapsed into a unitary-intelligence model or misremembered as assessment-specific rather than as the hierarchical taxonomy organizing modern batteries.","model-conflation","Distractor A treats CHC as a single-g theory. Remediate: CHC is a hierarchical framework with broad abilities (Gf, Gc, Gsm, Gv, Gs, etc.) and narrow factors within each. Modern batteries (WISC-V, Woodcock-Johnson) are built on CHC. Use visual hierarchy diagrams to anchor the multi-level structure."
"PQ_DBD-03_7","Processing speed is incorrectly prioritized as the primary cognitive driver of mathematical reasoning, confusing task-execution efficiency with higher-order problem-solving ability.","indirect-direct-confusion","Distractor A selects processing speed. For math reasoning, fluid reasoning (Gf) is most direct because it measures novel problem-solving, pattern induction, and logical inference. Processing speed supports efficiency but is not the primary construct. Teach construct mapping: Math reasoning = Gf, not Gs."
"PQ_DBD-03_8","Test age-range knowledge is anchored on the child's referral age rather than retrieved from instrument norms, leading to false lower-bound assumptions.","label-retrieval","Distractors A, B, D misremember SB5 age boundaries. SB5 spans ages 2–85+. The referral age (3 years) is within range but not the boundary. Drill: Memorize age ranges for major batteries (WISC-V: 6–16; SB5: 2–85; DAS-II: 2–17). Use flashcards or a reference sheet during study."
"PQ_DBD-03_9","Verbal-processing-speed discrepancies are interpreted toward gifted potential rather than toward accommodations and intervention planning grounded in documented processing-speed weakness.","role-confusion","Distractor A reframes the split as a gifted signal. Correct interpretation: Stronger verbal, weaker speed means this student excels in language-based tasks but struggles with time-dependent or rapid-task-switching demands. Recommend extended time, reduced timed assessments, and verbal-strength-based instructional strategies."
