"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_ACA-06_1","Students conflate the conditioned response with being a modified or weaker version of the unconditioned response, rather than understanding that classical conditioning produces a response equivalent to the unconditioned response.","model-conflation","Ask students to map the unconditioned stimulus → unconditioned response relationship, then show that the conditioned stimulus produces the SAME response, not a similar one. Use concrete examples (bell → salivation vs. food → salivation). Flag persistent use of 'similar to' language."
"PQ_ACA-06_10","Students incorrectly apply either no capacity limits (conflating working memory with long-term memory) or extreme capacity constraints (treating working memory as storing only 1–2 isolated items rather than chunks).","component-confusion","Teach Miller's Law explicitly: capacity = 7 ± 2 items or 5–9 chunks. Use hands-on chunking tasks (e.g., phone numbers, acronyms). When students default to 'unlimited' or 'very few,' redirect by demonstrating chunking increases apparent capacity."
"PQ_ACA-06_11","Students attribute schema theory's value to removing capacity limits rather than organizing knowledge into patterns, or treat schemas as fixed static structures that do not evolve.","purpose-confusion","Clarify that schemas do NOT increase memory capacity—they organize it. Use developmental examples: a child's schema for 'dog' changes over time (initially: fluffy, legs → later: breeds, behaviors). Address the misconception that better organization = unlimited storage."
"PQ_ACA-06_12","Students believe more information is inherently beneficial for learning, or assume expertise eliminates cognitive load entirely, misunderstanding that cognitive load affects all learners regardless of skill level.","overgeneralization","Model cognitive load explicitly: more = harder. Show worked examples for novices vs. self-explanation for experts. When students suggest 'just add more info,' ask them to predict learning outcomes and check against evidence-based guidance."
"PQ_ACA-06_13","Students equate 'transfer' with physical relocation or treat transfer as forgetting, rather than grasping that transfer means applying learned knowledge to novel contexts.","label-retrieval","Establish clear terminology: transfer = reapplication to NEW context. Use explicit bridge problems (same strategy, different numbers → new domain). If students default to physical meaning, ask 'Does moving the student to a different class teach them the strategy?'"
"PQ_ACA-06_14","Students view constructivism as passive reception of answers from teachers or believe it produces identical knowledge in all learners, rather than recognizing active knowledge construction that produces individual meaning-making.","model-conflation","Contrast passive lectures ('teacher gives all answers') with constructivist tasks (students explore, build models, revise ideas). Highlight that constructivism celebrates individual variation in how meaning is constructed, not uniformity."
"PQ_ACA-06_15","Students believe learning occurs independently of context or is confined to formal classroom settings, underestimating the pervasive influence of situational factors on knowledge acquisition and application.","scope-overgeneralization","Emphasize that situated learning binds knowledge to the activity and environment where it is learned. Use apprenticeship examples (learning a craft by doing it) vs. decontextualized instruction. When students suggest context is irrelevant, ask where THEY learned most effectively."
"PQ_ACA-06_16","Students focus on limitations of extrinsic motivation rather than sustainability of intrinsic motivation, or believe all learners require mixed motivational strategies to succeed, missing the broader claim about intrinsic motivation's deeper engagement.","purpose-confusion","Distinguish between starting motivation (extrinsic can jump-start) and sustaining motivation (intrinsic persists without rewards). Use Self-Determination Theory: autonomy, competence, relatedness fuel intrinsic motivation. When students cite mixed strategies, ask 'For whom?' and 'What does research say about intrinsic persistence?'"
"PQ_ACA-06_17","Students assume internal attributions of failure always lead to learned helplessness or permanent discouragement, not recognizing that internal but controllable attributions (effort) promote persistence.","scope-overgeneralization","Teach Weiner's full attribution framework: locus (internal/external) × controllability (controllable/uncontrollable). Effort is internal AND controllable → promotes persistence. Ability is internal but uncontrollable → risk of helplessness. Practice sorting real student statements into this matrix."
"PQ_ACA-06_18","Students believe dual coding forces competing pathways or that visual information universally outperforms verbal information, rather than understanding that dual encoding in both modalities strengthens memory compared to single-code storage.","model-conflation","Emphasize complementarity, not competition. Show examples: picture + word label > picture alone > word alone. Address 'it makes learning harder' by having students remember picture-only vs. picture+label lists. Highlight that dual coding reduces cognitive load by providing retrieval pathways."
