"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_PSY-02_1","Students interpret a 0.52 test-retest reliability coefficient as acceptable measurement stability, confusing mid-range numeric values with adequate consistency thresholds.","label-retrieval","Choice A treats 0.52 as 'excellent stability'—students conflate the numeric midpoint with quality judgment. Choice C suggests reliability and validity are independent properties—explicitly teach that reliability is prerequisite to validity, not peripheral. Choice D assumes behavior variability excuses weak test reliability—reinforce that test-retest reliability measures construct consistency, not the stability of the phenomenon being measured. Use a concrete example: 'A thermometer that reads 72°F one minute and 64°F the next is unreliable, regardless of whether room temperature actually fluctuates.'"
"PQ_PSY-02_10","Students confuse convergent validity (high correlation with similar tests) with discriminant validity (low correlation with unrelated constructs), reversing the logical structure of construct validation.","component-confusion","Choice A describes convergent validity, not discriminant validity—students select it when prompted about discriminant support. Choice C introduces predictive validity as a red herring—students mistakenly think prediction strength proves discrimination. Choice D conflates internal consistency (within-test coherence) with discriminant validity (between-test differentiation)—two separate reliability/validity dimensions. Teach this sequence: 'Convergent = same construct, expect HIGH correlations. Discriminant = different construct, expect LOW correlations. Internal consistency = one test, items cohere. None of these make you discriminate.'"
"PQ_PSY-02_11","Students attribute aberrant item performance across score groups to internal consistency failures or construct invalidity, missing the specific signal of differential item functioning at the item level.","tier-level-confusion","Choice A jumps to internal consistency—students wrongly believe inconsistent item performance affects test-wide coherence. Choice C attributes the pattern to test-retest stability—students conflate cross-group item behavior with temporal instability. Choice D invokes construct validity globally—students overgeneralize a single item anomaly to the entire test's meaningfulness. Introduce DIF explicitly: 'One item performing backwards (lower scorers correct, higher scorers wrong) signals bias in THAT item for THAT comparison, not a global test failure. DIF is group-level, not temporal.'"
"PQ_PSY-02_12","Students conflate internal consistency and inter-rater reliability as two measures of the same construct—consistency—when they actually reflect different dimensions of measurement quality.","role-confusion","Choice A collapses both reliability types into 'overall unreliability'—students treat high internal consistency and low inter-rater correlation as mutually invalidating. Choice C ascribes the rater disagreement to rater incompetence rather than measurement method—students blame people instead of the tool design. Choice D recommends test abandonment based on one weak reliability type—students fail to compartmentalize reliability types. Emphasize: 'Alpha 0.92 means items within one teacher's rating cohere. Rater correlation 0.50 means teachers disagree. Both are real; neither erases the other. Use the test with multiple raters or invest in rater training.'"
"PQ_PSY-02_13","Students equate reliability and validity as synonymous concepts, or believe a reliable test automatically measures the construct it purports to measure.","validity-reliability-confusion","Choice B declares validity always outweighs reliability—students prioritize construct accuracy over measurement consistency. Choice C treats reliability and validity as interchangeable terms—students lack the foundational distinction that reliability is necessary but validity requires additional evidence. Choice D asserts validity without reliability—students underestimate the foundational role of consistency. Use a measurement metaphor: 'A reliable scale gives you the same weight every time (consistency). A valid scale gives you your actual weight (accuracy). Reliable but invalid is like a scale that consistently reads 10 lbs too high.'"
"PQ_PSY-02_14","Students misclassify reliability indices as validity types, treating internal consistency and test-retest stability as evidence of validity rather than as separate measurement properties.","norm-criterion-confusion","Choice A treats Cronbach's alpha (internal consistency reliability) as a validity evidence type—students conflate the two evidence domains. Choice B is incorrectly rejected by students who believe the correlation with other anxiety measures is NOT convergent validity—conceptual blur. Choice C is incorrectly rejected because students miss that low intelligence correlation IS discriminant validity—missing the evidence that IS there. The question asks for missing evidence: test-retest reliability (D) is the only piece NOT provided in the manual. Teach the evidence matrix: internal consistency, convergent, discriminant, predictive, and test-retest are FIVE DIFFERENT pieces. The manual shows four; identify the fifth slot as empty."
"PQ_PSY-02_15","Students interpret low test scores coupled with teacher-reported absence of difficulties as sensitivity problems (false positives) but may confuse this with specificity or test-retest reliability complications.","population-confusion","Choice A misnames the issue as test-retest reliability—students think the measure is unstable over time when the real problem is criterion mismatch. Choice C reverses the problem direction—students confuse false positives (screen positive, actually unaffected) with false negatives (screen negative, actually affected). Choice D invokes inter-rater reliability when only one rater (the test) is involved—students import a rater disagreement frame where the benchmark is teacher observation. Define sensitivity and specificity: 'Sensitivity = catch true positives (if kid has the disorder, does the test catch it?). Specificity = avoid false positives (if test says disorder, is there really a disorder?). Low sensitivity misses affected kids; low specificity flags false alarms.'"
"PQ_PSY-02_16","Students assume validity evidence from a research-standardized sample automatically transfers to any individual from an underrepresented background, ignoring the critical boundary condition of sample representativeness.","scope-overgeneralization","Choice A overgeneralizes by declaring the test invalid for ALL culturally diverse students—students swing to categorical rejection. Choice C asserts research validity universally applies—students treat lab evidence as context-independent. Choice D claims culture is irrelevant to validity—students minimize or dismiss the role of construct equivalence across groups. Address generalizability limits: 'Strong validity in Study Population A doesn't guarantee validity for Individual from Group B. Norm groups shape item interpretation, difficulty, and meaning. Check: Is Group B represented in the norms? Are word choices, examples, and content culturally equivalent? When in doubt, supplement with local validation or alternative measures.'"
"PQ_PSY-02_17","Students confuse incremental validity (added information beyond existing measures) with changes in individual performance, developmental test trends, or test length effects.","model-conflation","Choice A interprets incremental validity as score improvement over time—students apply a developmental or motivational lens instead of a measurement-comparison lens. Choice C reads incremental as age-related progression—students misattribute the construct to lifespan development. Choice D links incremental validity to test length—students believe longer = more information, missing the core idea of marginal contribution beyond known measures. Clarify by example: 'Adding a brief working-memory test to a full IQ battery has incremental validity if it predicts something (e.g., writing quality) that the IQ battery alone cannot. If IQ predicts writing alone at r=0.70, and working memory adds r=0.75, the increment is 0.05—the extra explanatory power from adding the new measure.'"
"PQ_PSY-02_18","Students assume that strong validity evidence for a majority-culture sample is universally applicable without critically evaluating population relevance, or they over-correct by rejecting the test entirely for any diverse population.","eligibility-criteria-confusion","Choice A assumes evidence from predominantly White, middle-class norming automatically applies—students treat validity as culture-blind. Choice B recommends universal test exclusion based on sample composition—students swing to categorical refusal instead of critical analysis. Choice D restricts test validity only to the norming demographic—students rigidly confine the test to the studied population. The correct action is Option C: consider applicability. Teach appraisal criteria: 'Validity ≠ applicability. Ask: (1) Does the norm group include representation of my student's cultural/linguistic background? (2) Are item content, context, and language fair for this student? (3) Are construct definitions (what counts as anxiety, achievement, ability?) equivalent across cultures? (4) Should I interpret scores conservatively, triangulate with other measures, or use alternative assessments?' Make the critical judgment visible to students rather than defaulting to blanket acceptance or refusal."
