UNIQUEID,dominant_error_pattern,error_cluster_tag,instructional_red_flags
"PQ_ACA-09_19","Fundamental conflation of accommodation purpose with outcome guarantee or expectation-lowering, obscuring the true rationale of leveling processing-speed obstacles.","purpose-confusion","Choice A (lower standards) and D (guarantee better grades) both mistake accommodation logic: 504 accommodations do NOT change content or guarantee outcomes—they remove barriers to demonstrating existing capacity. Teach: extended time compensates for ADHD's processing speed/working memory effects, allowing fair measurement of knowledge. Choice C (avoid challenging material) similarly misses rationale—teach that accommodations maintain rigor while removing time penalty. Use side-by-side comparison: standard vs. extended-time test—same questions, same content, different time budget."
"PQ_ACA-09_2","Uncertainty about the delineation of school psychologist's role in health management vs. medical personnel, conflating coordination with direct medical care provision.","role-confusion","Choice A overstates shared responsibility—blurs who does what. Teach: school psychologist does NOT administer insulin; that's school nurse. School psychologist's role is monitoring educational impact (absences, fatigue effects on learning) + IEP coordination. Choice C conflates educational participation (PE/trips) with school psychologist's domain; this is teacher/health team decision. Choice D is procedurally correct but incomplete—students miss that school psychologist also monitors cognitive/behavioral effects of glucose episodes. Use role cards: clarify 'coordinates' ≠ 'provides medical care.'"
"PQ_ACA-09_20","Belief that re-entry timing should be either instantaneous or indefinitely delayed, missing the evidence-based gradual phasing model.","sequence-inversion","Choice A (immediate) overlooks deconditioning/anxiety—wrong sequence. Choice C (indefinite homebound) inverts sequence wrongly: extended absence worsens anxiety + decouples from peer context, increasing drop-out risk. Teach graduated timeline with explicit milestones: Week 1 (half-day), Week 2 (lunch included), Week 3 (add specials), Week 4 (full day). Choice D (ignore anxiety) misses that post-hospitalization anxiety is normative and evidence-based CBT in-school + parental coaching accelerates adjustment. Use real case study showing anxiety improves WITH phased return, not without."
"PQ_ACA-09_3","Misconception that FASD severity correlates with intellectual disability severity, underestimating the profile of average cognition + severe executive dysfunction.","model-conflation","Choice A (severe ID + unable to attend) represents worst-case thinking; FASD intellectual profile is average-to-near-average with INTACT IQ but devastated EF. Teach: FASD students can graduate; their barrier is impulse control/planning/memory, not reasoning. Choice B (strong abstract reasoning) inverts actual profile—abstract reasoning intact, but behavioral dysregulation masks it. Choice D (superior abilities) is flatly wrong. Emphasize: FASD = paradox of 'normal intelligence with profound dysfunction'—use academic achievement vs. behavior charts to show the mismatch."
"PQ_ACA-09_4","Underestimation of cumulative attention loss from frequent brief seizures, assuming absence seizures are benign or categorically unrelated to learning.","scope-undergeneralization","Choice A (benign, no impact) misses accumulation logic: 10-20 staring spells/day × 5-10 seconds = 50-200 seconds of lost awareness daily = missed instruction cascades. Teach frequency × duration → cumulative impact framework. Choice B (aggressive behavior) is factually wrong—absence seizures don't produce aggression; this conflates with other seizure types. Choice D (only in ID students) represents population confusion—any student can have absence seizures and any can experience attention fragmentation regardless of baseline IQ. Use classroom timeline: show where 10 brief losses occur and what instruction is missed."
"PQ_ACA-09_5","Attribution of cognitive side effects of cancer treatment to character/motivation flaws or permanent learning disability, rather than recognizing medical etiology.","indirect-direct-confusion","Choice B (laziness/motivation) represents misattribution to effort—fundamentally wrong. Teach: chemo brain is a recognized medical phenomenon (chemotherapy-related cognitive impairment), NOT laziness or effort issue. Choice C (learning disability) misses etiology filter: LD is developmental/neurological; chemo brain is acquired/medical. Choice D (emotional immaturity) conflates emotional regulation with cognitive processing. Anchor with PET scan or neuroimaging showing post-chemo metabolic changes. Emphasize: recognition of medical label → accommodations (extended time, note-taking help) rather than motivation interventions."
"PQ_ACA-09_6","Belief that acute/adolescent-onset conditions can produce intellectual disability, missing the critical window requirement (early childhood neurological insult).","developmental-stage-mismatch","Choice A (chronic hypoxia from asthma) and B (adolescent diabetes) both mistake timing: intellectual disability results from EARLY childhood insults during peak brain development (prenatal–age 5). Teach: by adolescence, foundational neural structures are set; later insults cause functional impairment, not ID. Choice D (seasonal allergies) is absurdly mild but follows same error—students underestimate severity thresholds (lead exposure, untreated infections cause ID; seasonal pollen does not). Use brain development timeline: highlight critical periods (prenatal, 0-3, 0-5) where hypoxia/infection/toxins permanently alter capacity."
"PQ_ACA-09_7","Confusion between eligibility criteria for 504 plans and IDEA special education, or assumption that 504 status is always a precursor to special education.","eligibility-criteria-confusion","Choices A, C, D all describe overlapping criteria accurately but lack precision. Key distinction students miss: 504 = substantial limitation to major life activity (no FAPE requirement); IDEA special education = disability + adverse educational impact + need for specialized instruction. Teach: many 504-eligible conditions don't qualify for IDEA (e.g., asthma, diabetes managed with accommodations). Use Venn diagram: IDEA ⊂ 504 (all IDEA kids are 504-eligible; not vice versa). Choice B is correct but requires comparison to reveal where other choices fall short on the spectrum."
"PQ_ACA-09_8","Assumption that pain is either purely medical (requiring only medical intervention) or behavioral (requiring discipline), missing the biopsychosocial intervention model.","overgeneralization","Choice A (excuse all attendance) represents medical-only thinking: pain is real but avoidance worsens it. Teach: chronic pain + avoidance = conditioning loop—school exposure + family support + CBT break the cycle. Choice C (increase consequences) is behavioral-only error; punishing someone in pain is both ineffective and unethical. Teach: pain behavior ≠ willful misbehavior. Choice D (refer to medical provider only) misses school-based leverage; graded exposure + CBT + family coordination happen IN school. Use pain management flow: physician manages pain physiology; school manages attendance/anxiety/graded exposure."
"PQ_ACA-09_9","Assumption that ADHD impact is moderated by intelligence level, or that ADHD symptoms naturally resolve without intervention.","tier-level-confusion","Choice A (average intelligence → minimal impact) represents dangerous misconception: ADHD affects executive function (planning, impulse control, task initiation, sustained attention) REGARDLESS of IQ. A student with IQ 120 and untreated ADHD still fails due to EF deficits. Teach: ADHD and IQ are orthogonal (independent). Choice C (only with LD) represents population confusion—ADHD exists across all ability levels. Choice D (improves by high school) is false prognosis; without intervention, ADHD persists into adulthood. Use parallel profiles: two students, same IQ, one ADHD (untreated) fails, one ADHD (treated) succeeds—illustrates IQ-independence."
