"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"item_004","Students conflate formal-informal assessment categories with the specific, sequential purpose-driven measurement types that define RTI, mixing general data classification with MTSS-specific assessment terminology.","label-retrieval","Choice A shows students using broad assessment categories rather than RTI-specific types, indicating they lack precision on MTSS measurement language. Choice C reveals students reversing the monitoring and screening order, showing confusion between which assessment comes first versus second in the RTI sequence. Choice D shows students substituting general achievement measures (grades, state tests) for curriculum-based measurement tools designed for frequent progress-monitoring. Establish terminology precision: Create a chart with 'Universal Screening' (definition: single administration at beginning of year or term to identify at-risk students; examples: DIBELS, AIMSweb initial probes; purpose: tier placement) vs. 'Progress Monitoring' (definition: frequent measurement of same skill during intervention; examples: weekly CBM probes; purpose: intervention adjustment). Have students match specific assessments and purposes to the correct row."
"item_008","Students overextend the Tier 1 definition to include intensive, individualized interventions designed for specific student needs, conflating universal support with targeted service models.","scope-overgeneralization","The item appears incomplete in extraction, but the distractor reveals the error: Choice B (selected as correct) references 'intensive needs of specific' students. The misconception is that Tier 1 includes interventions for individual intensive need—it does not. Tier 1 is universal, evidence-based, high-quality core instruction for all students. Choice A (explicit and direct instruction) IS a Tier 1 feature (best practice in core curriculum), creating a false-positive distraction. Teach Tier 1 scope using a narrowing funnel: Tier 1 = all students receive high-quality core instruction with specific evidence-based practices (explicit instruction, regular formative assessment, differentiated grouping). Tier 2 = subgroup of students below benchmarks receive supplemental, targeted instruction ON TOP of Tier 1. Tier 3 = small group or individual intensive support. Have students categorize interventions ('whole-class phonics block' → Tier 1; 'small group guided reading for below-benchmark readers' → Tier 2; 'individual phonemic awareness therapy' → Tier 3) to anchor the intensity distinction."
"item_053","Students conflate CASEL social-emotional learning framework with broader cognitive or emotional learning approaches, misunderstanding CASEL's specific focus on five structured competencies (self-awareness, self-management, social awareness, relationship skills, responsible decision-making) taught as intentional curriculum.","developmental-stage-mismatch","Choice A shows students selecting a cognitive efficiency framework, indicating they may associate social-emotional learning with thinking skills. Choice B reveals students choosing experiential learning, suggesting they conflate active learning methods with SEL. Choice D shows students opting for emotional-behavioral learning, indicating they narrow SEL to behavior management only. Teach CASEL specificity by first naming the five competencies and showing exemplars: Self-Awareness (emotion naming, strengths identification), Self-Management (impulse control, goal-setting), Social Awareness (perspective-taking, empathy), Relationship Skills (communication, teamwork), Responsible Decision-Making (ethical reasoning, consequence analysis). Then distinguish CASEL (structured competency-based curriculum) from 'Cognitive Learning' (thinking strategies), 'Experiential Learning' (learning-by-doing methods), and 'Emotional-Behavioral Learning' (emotion regulation + behavior). Have students sort curriculum examples into the correct framework."
"item_076","Students recommend implementing universal prevention programs or indirect consultation roles when confronted with a school bullying incident, skipping the prerequisite systemic needs-assessment step that provides the evidence base for tailored intervention design.","prerequisite-skipping","Choice A shows students defaulting to school-wide program adoption without baseline data, indicating they jump to solution before diagnosis. Choice B reveals students choosing consultation role without needs assessment, suggesting they view indirect methods as alternative to assessment. Choice D shows students intervening with perpetrators before systemic assessment, treating individual intervention as equivalent to systems change. Establish assessment-before-implementation sequencing: (1) Needs assessment—survey school climate, examine discipline data, disaggregate by location/context/demographics to understand bullying patterns; (2) Interpretation—what does the data reveal about most common bullying types, hotspots, student/staff awareness gaps?; (3) Program selection—choose universal program aligned to identified needs (not generic program); (4) Implementation—monitor fidelity and outcomes. Have students conduct a mock needs assessment using sample school climate survey data and discipline records, then match findings to one of three universal programs ('focus on bystander empowerment' vs. 'focus on reporting mechanisms' vs. 'focus on peer mentoring') to show how assessment drives program fit."
"item_108","Students conflate Tier 2 targeted support with Tier 3 intensive services, misidentifying Tier 2 as serving individual or small special education groups rather than recognizing it as supplemental intervention for at-risk general education students delivered in small groups.","tier-level-confusion","Choice A shows students describing Tier 3 intensity (individualized instruction, intensive therapy) as Tier 2, indicating they don't distinguish between intensive and targeted. Choice C reveals students associating Tier 2 with special education populations, conflating general education tier with special education service. Choice D shows students naming FBA (a special education assessment tool) as Tier 2 starter, suggesting they confuse RTI process with special education evaluation. Build a three-tier intensity pyramid: Tier 1 base = core instruction for all students (e.g., whole-class phonics); Tier 2 middle = supplemental small-group instruction (e.g., guided reading groups for 5–8 students meeting 3–4x/week) delivered WITHIN general education; Tier 3 peak = intensive individual or very small group (1–2 students) instruction (e.g., 1:1 decoding intervention for students showing minimal Tier 2 response). Have students place interventions on the pyramid: 'small-group math tutoring during school day' (Tier 2), 'individualized speech therapy with SLP' (Tier 3), 'universal math lesson' (Tier 1)."
"item_121","Students conflate peripheral after-school enrichment programs with core MTSS components, misunderstanding that MTSS is a school-day, integrated academic-behavioral system for all students, not an add-on program or peripheral service.","scope-undergeneralization","Choice A shows students incorrectly omitting RTI, indicating they don't recognize RTI as integral academic component. Choice B shows students incorrectly omitting PBIS, indicating they don't recognize PBIS as integral behavioral component. Choice C shows students incorrectly including school-based mental health as core MTSS (mental health services may be Tier 3 intensive for some students but are not defining features of MTSS). After-school programs, by contrast, are supplementary and not part of the core MTSS infrastructure. Teach MTSS core definition: Integrated academic (RTI) + behavioral (PBIS) + assessment (universal screening, progress monitoring) + problem-solving, operating during school day for all students. Create a visual matrix: columns for Academic, Behavioral, Assessment; rows for Tier 1, Tier 2, Tier 3; populate with MTSS components (RTI lesson, guided reading group, PBIS expectation, behavioral check-in, universal screener, CBM probe). After-school tutoring and mental health services are supplementary, outside MTSS core. Have students sort services: 'MTSS core' vs. 'Supplementary Tier 3' vs. 'Non-MTSS wraparound.'"
"item_122","Students select discipline or threat-assessment procedures as core school-wide policies, when school-wide MTSS policies must prioritize the foundational infrastructure of high academic standards, rigorous curricula, and equitable universal access for all students.","population-confusion","Choice A shows students emphasizing reactive discipline procedures, missing that discipline follows from classroom and curriculum quality. Choice C reveals students naming special education as a school-wide policy, conflating targeted service systems with universal policies. Choice D shows students prioritizing specialized assessment (threat assessment) rather than universal instructional features. Teach that Tier 1 school-wide policies must answer: 'How do we ensure ALL students have access to high-quality, rigorous instruction in all academic domains?' Establish expectations for core curriculum quality: research-based programs, explicit instruction, formative assessment, appropriate pacing, teacher fidelity monitoring. Threat assessment, discipline procedures, and special education are important but downstream; they follow from deficits in core instruction. Have students rank a list of potential school-wide policies (core curriculum adoption, teacher professional development on explicit instruction, universal screening adoption, discipline policy, threat assessment protocol) by MTSS priority and explain why core instruction comes first."
"item_123","Students prioritize procedural compliance or stakeholder voice as the first discussion topic with staff after a needs assessment, rather than focusing initial conversation on concrete evidence-based barriers to intervention effectiveness and evidence of staff implementation gaps.","purpose-confusion","Choice A shows students starting with parent involvement discussion, skipping the staff-focused barrier analysis. Choice B shows students centering cultural competence training, which is important but comes after identifying what barriers exist. Choice D shows students discussing district policy and legal requirements, treating compliance as primary rather than secondary. Teach needs assessment follow-up sequencing: (1) First discussion = barriers identified in assessment data (staff knowledge gaps, fidelity gaps, time/resource barriers, bias in decision-making); (2) Second discussion = how to address those specific barriers (professional development topics, fidelity coaching, resource allocation); (3) Concurrent = stakeholder engagement (parents, teachers, community) informed BY barrier analysis, not beforehand. Have students review a mock needs assessment report showing low Tier 2 intervention fidelity for students of color, then draft the conversation agenda for a staff meeting where the first topic is 'Fidelity gaps we found' (not 'How can parents help?') with specific data on which practices are implemented inconsistently."
"item_183","Students name early adoption or initial implementation stages when the question asks about dissemination—the strategic analysis phase evaluating goodness-of-fit between an intervention and the school system's capacity (cost, duplication, implementer skills) before commitment.","indirect-direct-confusion","Choice A shows students confusing dissemination (strategic fit assessment) with adoption (commitment decision), suggesting they don't distinguish planning from action. Choice B reveals students naming initial implementation when the scenario explicitly describes a planning/evaluation meeting, indicating they conflate execution with implementation stages. Choice D shows students using non-standard terminology 'critical review' instead of recognized implementation science phases. Teach implementation stages using a sequence: (1) Exploration—research-based programs and their evidence; (2) Installation/Preparation—secure resources, train staff; (3) Initial Implementation—first year of use, lower fidelity; (4) Full Implementation—consistent, high-fidelity use; (5) Sustainment—ongoing quality. Dissemination (or 'adoption readiness') happens late in exploration/early in installation: evaluating whether a specific program fits this school's context, budget, and staff skills. Have students read a case study describing a school psychologist analyzing a literacy program against their current capacity and discussing fit, then label the stage ('Dissemination/Adoption Readiness') and contrast it with a scenario describing actual classroom use of the program ('Initial Implementation')."
"item_234","Students recommend individual tutoring, special education referral, or isolated skill training without situating the case within an MTSS team problem-solving framework, missing that the appropriate recommendation is to bring the case to the RTI team for collaborative, data-based decision-making.","role-confusion","Choice A shows students jumping to referral without RTI process, indicating they skip team-based problem-solving. Choice B shows students recommending individual tutoring as standalone intervention without team consultation, suggesting they don't recognize RTI team as gatekeeper. Choice D shows students prescribing a specific skill focus without prior problem-solving analysis, treating assumptions as data. Teach that the school psychologist's consultation role in RTI is to recommend team involvement: (1) Frame the case (Michele is 1 year below grade level in reading, family engaged, socioeconomic barriers present); (2) Ask: 'What has Tier 1 instruction looked like? Was it delivered with fidelity?' (3) Recommend to RTI team: collaborative problem-solving, possible Tier 2 small-group intervention, ongoing monitoring; (4) Connect family to community support services (within consultation, not instead of RTI). Have students role-play a teacher bringing Michele's case to a consultant, then have the consultant demonstrate recommending RTI team problem-solving rather than tutoring or referral, and identify which socioeconomic barriers fall outside RTI scope (for community linkage) versus which fall within it (instructional response)."
