"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_SWP-03_1","Students confuse publication venue (peer-reviewed journals) with the methodological rigor (randomized controlled trial design) that ESSA Tier 1 requires.","label-retrieval","Choice A treats journal publication as sufficient evidence; redirect by distinguishing publication venue from research design. Choice C assumes research independence is an ESSA criterion when randomization and effect consistency are the actual requirements. Choice D equates widespread adoption with evidence tier status rather than recognizing adoption follows evidence evaluation. Teach the three-part ESSA framework: rigor (RCT only), consistency (multiple studies showing aligned effects), and generalizability (multiple populations and settings)."
"PQ_SWP-03_10","Respondents conflate program implementation adherence (fidelity measurement) with outcome effectiveness, attributing monitoring functions to outcome assessment goals instead.","treatment-assessment-confusion","Choice A mistakes fidelity for outcome evaluation—fidelity is 'how well executed,' not 'how well it worked.' Choice C treats cost analysis as program implementation monitoring when financial evaluation is a separate evaluation domain. Choice D confuses program inclusivity checks with adherence-to-design measurements. Explicitly show students a simple contrast: 'Fidelity = Did we do it the way it was designed?' vs. 'Outcomes = Did it produce the results we expected?'"
"PQ_SWP-03_11","Practitioners leap to questioning program evidence quality when outcome failure occurs, sidestepping the diagnostic hierarchy that places implementation fidelity first.","sequence-inversion","Choice A misplaces the validation check—the program is already evidence-based; the school must check if *they* are delivering it faithfully. Choice C attributes performance gaps to student capacity rather than examining the delivery system. Choice D advocates premature program abandonment without fidelity audit, treating failure as an endorsement rejection problem. Introduce the troubleshooting sequence: Fidelity → Dosage → Adaptation fit → Only then, evidence validity."
"PQ_SWP-03_12","Students believe rigid 100% adherence and unfettered local customization are the only two positions, missing the middle ground where core components remain inviolable while superficial elements adapt.","scope-overgeneralization","Choice A overstates the rigidity requirement; students interpret 'fidelity' as 'no change ever.' Choice B overgeneralizes local adaptation authority as license to modify any part. Choice D treats individual teacher preference as valid grounds for core-component change. Use a matrix: 'Core components' (non-negotiable: the mechanisms of change) and 'Cultural/contextual wrappers' (adaptable: vocabulary, examples, timings). Anchor with a reading program example."
"PQ_SWP-03_13","Learners treat cost as either entirely irrelevant or as the sole deciding factor, failing to integrate financial constraints with efficacy, effect size, and long-term outcome ROI.","purpose-confusion","Choice A elevates cost to primary determinant, divorcing it from evidence. Choice C redefines cost-effectiveness narrowly as 'cheapest option,' missing the full cost-benefit framework. Choice D assumes higher cost guarantees higher effectiveness, a false linear assumption. Show a cost-effectiveness formula: (Outcome magnitude × Reach × Durability) / (Direct cost + Opportunity cost). Unpack 'long-term savings' using graduation and employment data as real ROI metrics."
"PQ_SWP-03_14","Respondents equate 'promising' evidence with mixed/limited evidence, conflating moderate research support with minimal or inconclusive results.","tier-level-confusion","Choice A mistakenly assigns strong empirical status to the 'promising' label when 'promising' sits below 'strong.' Choice C introduces false concern about limitations as if they are defining features of 'promising' rather than indicators of need for rigor. Choice D collapses 'promising' into 'understudied,' erasing the distinction between moderate signal and no signal. Create a three-tier visual: 'Strong' (multiple RCTs, consistent) → 'Promising' (some rigorous evidence, more needed) → 'Emerging' (limited evidence, exploratory)."
"PQ_SWP-03_15","Practitioners bypass structured evaluation data and instead rely on subjective institutional factors—decision-maker tenure and staff preference—as decision proxies.","component-confusion","Choice A treats administrative hierarchy as a quality assurance mechanism when data is the only legitimate decision anchor. Choice C substitutes popularity for objective outcome measures. Choice D reduces complex decisions to a single financial metric. Establish a non-negotiable evaluation template: Fidelity % (implementation data), Outcome equity (subgroup disaggregation), Cost-per-point-of-gain, Sustainability readiness (staff capacity, systems integration). Use a real case study."
"PQ_SWP-03_16","Students assume uniform program delivery across all students automatically produces equitable outcome distributions, ignoring the requirement to examine whether disparities exist within subgroups.","scope-undergeneralization","Choice A believes 'one size fits all' satisfies equity when equity demands outcome parity across groups. Choice C excludes students from beneficial programs under a false equity logic. Choice D suggests evidence-based programs inherently guarantee equity without active monitoring. Show disaggregated outcome data: identical school-wide gains can mask 10% gains for one group and 60% gains for another. Teach the equity audit: Examine effect sizes by race, SES, disability, ELL status."
"PQ_SWP-03_17","Respondents mistake a logic model for either a prescriptive outcome statement or a budget summary, rather than a visual causal-pathway framework linking inputs through activities to measurable outcomes.","model-conflation","Choice A treats logic models as fixed-outcome contracts when they map *hypothesized* causal sequences. Choice C reduces logic models to financial documents when they describe activities and impact mechanisms. Choice D restricts logic model use to large-scale programs when they are universally applicable. Draw a simple four-box diagram: 'We have [inputs] → so we do [activities] → which produce [outputs] → leading to [outcomes].' Walk through a school discipline example."
"PQ_SWP-03_18","Educators conflate initial learning-curve friction (ramp-up challenges) with fundamental program design failure, triggering abandonment or standard-lowering rather than implementation support escalation.","causation-correlation","Choice A interprets 8-week difficulty as a permanent mismatch, jumping to program rejection. Choice C assumes fidelity reduction will ease burden when lowering standards may undermine the mechanisms of change entirely. Choice D expects spontaneous teacher mastery without structured coaching or feedback. Normalize the implementation curve: Month 1–3 = confusion and bugs (expected); Months 3–6 = increasing consistency; Months 6+ = stable fidelity. Provide specific support types: modeling, co-teaching, fidelity checklists."
