"UNIQUEID","dominant_error_pattern","error_cluster_tag","instructional_red_flags"
"PQ_DBD-10_19","Student confounded accommodation-supported improvement with dependency, treating the evidence that accommodations work as proof the student is becoming reliant rather than recognizing it as a strong indicator that those supports should continue.","causation-correlation","When the student says 'accommodations cause dependence,' reframe: 'Would the student have succeeded WITHOUT preferential seating and extra time in the prior IEP? (No—that's why they needed them.) Does the fact that he improved WITH them mean he's dependent on them, or that he NEEDS them?' Teach the logic: Success-with-support ≠ dependence; it equals accurate matching of student need to instructional intensity. Then ask: 'If he improves WITH accommodations but we remove them, what happens?' This anchors accommodations as a feature, not a crutch."
"PQ_DBD-10_2","Student inferred that low achievement across multiple schools rules out teacher quality but failed to take the next step—recognizing that cross-setting consistency specifically points to a stable, within-student learning factor rather than environmental cause.","component-confusion","When the student identifies 'not a teacher quality issue' but doesn't conclude 'suggests stable learning disability,' prompt: 'You're right that changing teachers didn't change the problem. So what does THAT tell us about where the problem is? (Inside the student, not the environment.) Now predict: Will changing schools AGAIN fix it? Why or why not?' Model the forward inference: Cross-context consistency → rule out environment → infer intrinsic factor. This prevents stopping at environmental elimination."
"PQ_DBD-10_20","Student recognized that records review happens before testing but treated it as generating hypotheses without understanding that pre-testing records analysis is the foundational step that DIRECTS which cognitive domains are assessed and how findings are interpreted.","purpose-confusion","When the student says 'records are helpful but testing is the main thing,' stop and teach: 'Records generate the questions; testing answers them. WITHOUT records, we'd test everything—wasting time and diluting signal. WITH records, we know: focus on phonological processing because the pattern suggests dyslexia. Focus on working memory because the attention and task completion history points that way.' Then model: Give a records sketch (early language delay, bilingual exposure, mobility) and ask: Which cognitive domains MUST we assess? Which are lower priority? This makes records the hypothesis generator, not secondary."
"PQ_DBD-10_3","Student prioritized exhaustive re-testing of previously assessed domains rather than using prior results to avoid redundancy and redirect assessment focus to unexplored areas and domains that explain performance change.","sequence-inversion","When the student chooses 'repeat all tests identically,' ask: 'If cognitive processing was tested 18 months ago and reported strong, do we need to test it AGAIN? Or should we look at what WASN'T tested or what's changed?' Teach efficiency: 'Prior results show reading decoding is weak. Repeat? No—we keep that in hypothesis. New focus: What's changed in 18 months that explains the decline? New stressors? Health factors? Different classroom demands?' Then model with a case: 'Prior eval: strong math reasoning, weak computation. Current: both weak. Same tests or different focus?'"
"PQ_DBD-10_4","Student conflated cumulative files with medical records, treating them as containing identical information and serving interchangeable functions rather than documenting distinct domains (school history vs. health history).","model-conflation","When the student says 'cumulative files and medical records are the same,' pause and clarify: 'Cumulative file = school records: grades, prior IEPs, office referrals, prior testing done at school, teacher comments. Medical records = doctor visits, diagnoses, medications, hospitalizations.' Ask: 'If we need to know about asthma, where do we look? (Medical.) If we need to know about the student's reading history since kindergarten, where?' This is a pure categorization teachable moment. Create a two-column handout; have them sort sample documents."
"PQ_DBD-10_5","Student failed to recognize that chronic absence reduces instructional exposure, which is a primary environmental variable explaining achievement and engagement deficits without requiring a within-student disability explanation.","scope-overgeneralization","When the student calls absence 'irrelevant,' make it concrete: 'If a student misses 20% of school days, they miss approximately 20% of instruction. So: Where are the curriculum gaps? Which skills were NEVER taught because they missed the unit? How many times did they miss re-teaching opportunities?' Use an attendance calendar + curriculum scope-and-sequence to show the overlap. Then ask: 'Before we conclude learning disability, shouldn't we first confirm the student HAS been taught what they're missing?' This establishes absence as a primary hypothesis."
"PQ_DBD-10_6","Student recognized that escalating office referrals signal a concern but failed to identify that the appropriate professional response is a structured functional behavioral assessment to generate intervention hypotheses, not immediate behavior plan implementation.","treatment-assessment-confusion","When the student jumps to 'create a behavior plan now,' intervene: 'You're right that rising referrals are a problem. But FBA comes FIRST. We need to answer: What's triggering the referrals? Are they occurring in specific times/places/with specific peers? What's reinforcing the behavior? THEN we design an intervention.' Teach the sequence: (1) FBA interview + observation; (2) hypothesis about function; (3) behavior plan. Without steps 1–2, step 3 will fail. Then role-play: 'Student has 15 office referrals this year. Where do you START?' (Not the behavior plan.)"
"PQ_DBD-10_7","Student dismissed developmental history as irrelevant to school-age evaluation, not recognizing that milestones, early intervention history, and familial disability patterns provide essential longitudinal context for interpreting current profiles and identifying when concerns began.","scope-undergeneralization","When the student says 'developmental history doesn't matter for school evaluation,' push back: 'Did the student walk at 14 months or 3 years? Did they have early speech services? Does a parent have dyslexia? These facts tell us: (1) Is this a NEW concern in first grade or a CHRONIC concern since birth? (2) What does the family pattern suggest we should assess?' Then use a case: 'Student struggles with reading. Early history shows speech delay resolved by age 5. Family history: father has dyslexia. What does that timeline and family data tell us to prioritize?' This anchors developmental history as a roadmap."
"PQ_DBD-10_8","Student dismissed convergent multi-year observations from independent teachers about persistent reading difficulty as normal variation rather than recognizing that cross-rater cross-year consistency is strong signal of stable learning deficit requiring intervention.","tier-level-confusion","When the student calls 'persistent reading difficulty across grades 2, 3, 4 from three different teachers' normal variation, ask: 'If all three teachers independently said 'reads below grade level,' what does that agreement tell us? Is that chance, bias, or reality?' Teach convergent validity: 'Different raters, different times, same conclusion = strong signal. If only ONE teacher said it, we'd wonder about that classroom fit. But three independent observers = reliable.' Then predict: 'What happens in grade 5 if we don't intervene?' This establishes multi-observer consistency as a clinical threshold for action."
"PQ_DBD-10_9","Student believed understanding cultural-linguistic background is sociological context rather than a clinical necessity for preventing misidentification of cultural-linguistic difference as disability in psychoeducational assessment.","eligibility-criteria-confusion","When the student says 'language background is just background info,' teach the differentiation task: 'Bilingual student scores low on English reading test. Question: Is that a learning disability OR insufficient English exposure? ANSWER: We can't tell without knowing the language history. Did the student receive literacy instruction in English? For how long? How much exposure to each language?' Model: 'Spanish-dominant student, English instruction just started, scores low = different (not disorder). Spanish-dominant student, six years of English instruction, scores low = possible disability.' Then practice: 'What language questions MUST we ask before eligibility determination?'"
